"","gasDayStart","gasInStorage","full","trend","injection","withdrawal","workingGasVolume","injectionCapacity","withdrawalCapacity","year","month"
"1","2022-09-10",931.2735,83.63,0.35,4251.15,396.6,1113.6025,11752.33,19893.44,"2022","09-10"
"2","2022-09-09",927.3987,83.28,0.29,3759.68,548.8,1113.6025,11752.57,19892.81,"2022","09-09"
"3","2022-09-08",924.1621,82.99,0.31,3809.74,374.6,1113.6025,11752.75,19892.33,"2022","09-08"
"4","2022-09-07",920.7277,82.68,0.23,3258.1,732.2,1113.6025,11752.71,19892.43,"2022","09-07"
"5","2022-09-06",918.198,82.45,0.29,3742.34,477.7,1113.6025,11752.92,19891.86,"2022","09-06"
"6","2022-09-05",914.9355,82.16,0.31,3792.61,380.3,1113.6025,11749.29,19886.49,"2022","09-05"
"7","2022-09-04",911.4946,81.85,0.41,4755.72,189.5,1113.596,11728.14,19890.61,"2022","09-04"
"8","2022-09-03",906.9131,81.44,0.4,4633.36,201.4,1113.596,11728.36,19890.04,"2022","09-03"
"9","2022-09-02",902.4777,81.04,0.31,3813.76,314.7,1113.596,11728.56,19889.5,"2022","09-02"
"10","2022-09-01",898.981,80.73,0.34,4389.41,584.4,1113.596,11728.51,19889.66,"2022","09-01"
"11","2022-08-31",893.9298,80.35,0.2,3670.11,1495.2,1112.4986,11678.71,19889.45,"2022","08-31"
"12","2022-08-30",893.481,80.31,0.27,3643.1,611.1,1112.4986,11678.93,19888.88,"2022","08-30"
"13","2022-08-29",890.5872,80.05,0.28,3536.64,424.9,1112.4986,11679.16,19888.28,"2022","08-29"
"14","2022-08-28",887.484,79.77,0.4,4585.67,85.6,1112.5281,11678.57,19886.45,"2022","08-28"
"15","2022-08-27",883.06,79.37,0.38,4347.54,80,1112.5281,11678.86,19885.66,"2022","08-27"
"16","2022-08-26",878.793,78.99,0.32,3915.1,361.4,1112.5281,11696.23,19885.13,"2022","08-26"
"17","2022-08-25",875.2567,78.67,0.34,4040.41,285.1,1112.5281,11696.62,19884.09,"2022","08-25"
"18","2022-08-24",871.4979,78.33,0.31,4017.14,594.3,1112.5281,11696.73,19883.8,"2022","08-24"
"19","2022-08-23",868.0801,78.07,0.32,3777.98,265,1111.9205,11696.89,19883.36,"2022","08-23"
"20","2022-08-22",864.568,77.76,0.32,3888.61,278.9,1111.8694,11696.42,19883.1,"2022","08-22"
"21","2022-08-21",860.9637,77.43,0.43,4950.47,147.1,1111.8689,11696.8,19882.06,"2022","08-21"
"22","2022-08-20",856.1839,77,0.44,4983.15,103.5,1111.8689,11697.28,19880.78,"2022","08-20"
"23","2022-08-19",851.3249,76.57,0.38,4380.53,196.4,1111.8689,11697.38,19880.54,"2022","08-19"
"24","2022-08-18",847.1617,76.19,0.35,4294.41,408.9,1111.8689,11697.19,19881.03,"2022","08-18"
"25","2022-08-17",843.2968,75.89,0.33,3995.5,380.2,1111.171,11697.17,19881.07,"2022","08-17"
"26","2022-08-16",839.7195,75.57,0.37,4372.92,217.2,1111.171,11697.59,19879.97,"2022","08-16"
"27","2022-08-15",835.7255,75.21,0.4,4693.52,218,1111.171,11698.01,19878.85,"2022","08-15"
"28","2022-08-14",831.2697,74.83,0.44,5051.89,126.7,1110.9283,11696.77,19874.5,"2022","08-14"
"29","2022-08-13",826.3787,74.39,0.44,5059.32,118.3,1110.9283,11697.17,19873.46,"2022","08-13"
"30","2022-08-12",821.4604,73.94,0.39,4518.91,181.6,1110.9283,11697.41,19872.81,"2022","08-12"
"31","2022-08-11",817.1453,73.57,0.37,4450.71,367.1,1110.6906,11697.61,19872.29,"2022","08-11"
"32","2022-08-10",813.0326,73.2,0.4,4657.55,206.8,1110.6906,11697.87,19871.59,"2022","08-10"
"33","2022-08-09",808.5457,72.79,0.39,4512.29,153.5,1110.7194,11685.06,19824.69,"2022","08-09"
"34","2022-08-08",804.2122,72.4,0.38,4506.47,264.9,1110.7194,11677.41,19795.21,"2022","08-08"
"35","2022-08-07",799.9861,72.02,0.47,5288.94,78.1,1110.7189,11698.66,19869.47,"2022","08-07"
"36","2022-08-06",794.7973,71.56,0.45,5141.64,105.7,1110.7189,11699,19868.56,"2022","08-06"
"37","2022-08-05",789.7799,71.11,0.37,4374.35,276,1110.7189,11699.12,19868.24,"2022","08-05"
"38","2022-08-04",785.7038,71.2,0.33,3940.85,305.2,1103.456,11636.3,19797.74,"2022","08-04"
"39","2022-08-03",782.5932,70.92,0.36,4160.62,154.2,1103.546,11636.64,19796.86,"2022","08-03"
"40","2022-08-02",778.6011,70.55,0.39,4443.38,157.9,1103.546,11636.97,19795.99,"2022","08-02"
"41","2022-08-01",774.3412,70.17,0.36,4194.49,219.9,1103.547,11637.14,19795.55,"2022","08-01"
"42","2022-07-31",769.8915,69.45,0.43,4970.87,153.6,1108.4976,11699.6,19864.19,"2022","07-31"
"43","2022-07-30",765.6928,69.07,0.42,4777.74,148.7,1108.4976,11699.89,19863.41,"2022","07-30"
"44","2022-07-29",761.0635,68.66,0.34,4075.33,352.7,1108.4976,11682.81,19863.19,"2022","07-29"
"45","2022-07-28",757.3425,68.32,0.35,4214.27,371.9,1108.4976,11682.9,19862.95,"2022","07-28"
"46","2022-07-27",753.5066,67.98,0.35,4294.84,431.4,1108.4976,11682.91,19862.94,"2022","07-27"
"47","2022-07-26",749.644,67.63,0.36,4295.24,276.1,1108.4976,11683.04,19862.58,"2022","07-26"
"48","2022-07-25",745.624,67.26,0.39,4533.42,217.9,1108.4976,11683.65,19861.68,"2022","07-25"
"49","2022-07-24",741.3058,66.88,0.46,5197.84,81,1108.4839,11692.23,19859.97,"2022","07-24"
"50","2022-07-23",736.1881,66.41,0.43,4889.46,159.5,1108.4839,11692.63,19858.92,"2022","07-23"
"51","2022-07-22",731.4186,65.98,0.35,4332.85,502.6,1108.484,11692.99,19857.98,"2022","07-22"
"52","2022-07-21",727.6085,65.64,0.28,4008.99,889.7,1108.484,11710.41,19857.29,"2022","07-21"
"53","2022-07-20",724.515,65.36,0.25,3770.16,985.4,1108.484,11710.78,19856.31,"2022","07-20"
"54","2022-07-19",721.7385,65.11,0.26,3865.69,971.7,1108.484,11711.08,19855.52,"2022","07-19"
"55","2022-07-18",718.9907,64.86,0.3,4204.52,859.7,1108.484,11711.29,19854.97,"2022","07-18"
"56","2022-07-17",715.6584,64.56,0.41,5035.12,519.4,1108.4791,11711.55,19853.73,"2022","07-17"
"57","2022-07-16",711.1561,64.16,0.43,5354.67,603.5,1108.4791,11711.94,19852.7,"2022","07-16"
"58","2022-07-15",706.4097,63.73,0.34,4654.34,928.5,1108.4791,11712.32,19851.69,"2022","07-15"
"59","2022-07-14",702.7019,63.39,0.32,4291.37,791.3,1108.4791,11712.68,19850.75,"2022","07-14"
"60","2022-07-13",699.2153,63.09,0.28,4063.02,905.6,1108.3691,11713.03,19849.83,"2022","07-13"
"61","2022-07-12",696.0903,62.8,0.26,4144.08,1228.4,1108.3691,11713.31,19849.1,"2022","07-12"
"62","2022-07-11",693.2141,62.54,0.25,3610.18,787.1,1108.3691,11706.57,19848.67,"2022","07-11"
"63","2022-07-10",690.5648,62.31,0.47,5438.5,178.9,1108.3589,11706.79,19846.91,"2022","07-10"
"64","2022-07-09",685.3261,61.83,0.48,5483.99,173.9,1108.3589,11707.26,19845.67,"2022","07-09"
"65","2022-07-08",680.0458,61.36,0.35,4341.93,420,1108.3589,11707.54,19844.95,"2022","07-08"
"66","2022-07-07",676.1504,61,0.35,4416.74,516.7,1108.3589,11707.69,19844.54,"2022","07-07"
"67","2022-07-06",672.2732,60.65,0.36,4377.09,366.3,1108.3581,11707.96,19843.63,"2022","07-06"
